HR1	HR2
66.16	67.09
66.85	68.04
66.62	67.76
67.04	66.98
66.12	67.13
66.67	67.9
66.34	67.58
67.04	67.35
67.48	66.05
68.32	66.62
67.67	66.67
67.04	66.53
65.84	67.26
66.8	66.57
66.25	66.85
66.57	66.05
66.07	65.75
67.12	66.95
66.44	67.67
67.76	66.99
66.1	66.34
65.53	66.21
65.22	66.21
65.53	65.62
66.25	67.13
67.44	67.26
66.53	67.44
65.89	67.53
65.63	67.32
66.89	66.8
66.44	66.71
67.72	67.58
66.71	65.93
66.81	66.34
66.44	67.07
66.71	67.85
66.25	66.99
66.07	66.44
66.95	65.98
66.21	67.16
66.21	67.53
67.07	65.59
66.16	66.12
67.62	66.85
65.96	67.18
65.98	66.85
66.15	67.39
65.93	67.75
66.07	68.7
67.21	67.99
66.48	67.03
67.76	67.44
67.09	67.9
67.35	67.67
69.67	67.72
67.39	67.53
66.89	67.85
66.95	68.51
66.99	68.8
67.13	68.09
67.27	67.95
67.39	67.3
67.16	67.95
67.53	67.81
67.81	67.13
68.85	68.09
67.95	68.42
67.13	69.52
67.21	71.09
67.3	70.34
67.37	70.69
66.21	71.62
68.04	67.23
69.04	65.98
64.09	64.94
66.05	64.9
66.44	65.45
66	64.14
65.62	65.72
66.95	65.62
67.72	67.48
66.07	67.3
65.31	64.54
65.8	65.08
65.98	66.53
69.15	66.71
66.76	65.17
65.35	65.22
65.26	64.05
66.16	66.53
66.1	61.1
66.39	62.28
69.15	60.08
61.94	60.21
67.85	60.12
67.53	59.83
62.37	60.08
58.82	63.05
61.81	59.63
61.9	62.63
59.83	61.64
59.67	60.42
60.5	61.77
67.35	60.08
65.54	59.28
60.5	62.03
61.56	62.54
60.92	59.87
59.79	59.88
60.54	60.93
61.56	60.71
59.3	59.35
60.97	60.37
62.67	60.12
60	60.65
61.02	60.58
61.27	61.01
60.84	64.23
59.79	63.18
60.54	63.38
60.08	62.8
61.06	62.63
60.88	62.37
60.37	62.5
62.46	62.84
63.27	62.94
62.76	63.11
62.33	64.32
62.5	63.61
61.77	65.13
60.75	66.3
